Feature,Importance
V17,0.08742699058894488
V10,0.07752929655126906
V14,0.04546895467997558
V18,0.0321269411121996
V8,0.03097600943421952
V3,0.02614779145225299
V22,0.024120815203286128
V7,0.01918802197618774
V1,0.01423996574498787
V21,0.013366891263032699
V16,0.01159130195910052
V23,0.011032753459414124
V19,0.010613269320600693
V6,0.00786047759654096
V4,0.00681515447380221
V12,0.005139828914330735
V13,0.004439583403033964
V11,0.002182029181298617
V15,0.002059931266902737
V25,0.0014099052436833404
Amount,0.0012239225716754731
V24,0.0008464441391424771
V5,-0.00013667955566631917
V20,-0.00016705771438196848
V28,-0.00024842641882827365
V26,-0.0008782801831728193
V2,-0.0026791531195975438
V9,-0.007117094969668614
V27,-0.021514678932007314
