Feature,Importance
V9,0.038111365810793996
V11,0.025283765445703432
V6,0.02318954956373942
V26,0.022003282071903718
V14,0.02197920357932781
V2,0.01789225954367335
V22,0.017093363249852556
V1,0.016300639088981717
V12,0.01483597021046723
V19,0.01470267664951841
V18,0.014304426349262211
V4,0.013964874844512254
V13,0.013790788691896427
V17,0.012769819137466776
V16,0.010956357869910893
V10,0.010775670082035282
V3,0.007904134693284548
V5,0.007229595432962976
V24,0.007006037960660794
V25,0.006865344072566448
Amount,0.006403160772213923
V21,0.006121130750712744
V20,0.005214607503093216
V15,0.00443391079833122
V7,0.004039718313026741
V8,0.0027384208972169866
V27,0.001636568834158303
V23,0.0014148180744169014
V28,0.00039538039195674557
